STAID,LAT,LON,geometry
44,50.046388888888885,8.598333333333334,POINT (8.598333333333334 50.046388888888885)
45,51.51444444444444,11.950555555555557,POINT (11.950555555555557 51.51444444444444)
46,53.480555555555554,10.242777777777777,POINT (10.242777777777777 53.480555555555554)
47,53.635,9.989999999999998,POINT (9.989999999999998 53.635)
48,47.80166666666666,11.011666666666668,POINT (11.011666666666668 47.80166666666666)
49,50.92666666666666,11.584166666666668,POINT (11.584166666666668 50.92666666666666)
50,49.42527777777777,7.736666666666666,POINT (7.736666666666666 49.42527777777777)
51,49.03916666666667,8.365,POINT (8.365 49.03916666666667)
52,48.16416666666667,11.544166666666667,POINT (11.544166666666667 48.16416666666667)
53,51.95055555555556,7.591388888888889,POINT (7.591388888888889 51.95055555555556)
54,52.38333333333333,13.06388888888889,POINT (13.06388888888889 52.38333333333333)
55,53.64416666666666,11.388333333333334,POINT (11.388333333333334 53.64416666666666)
